Currency,Date,Closing,24h Open (USD),24h High (USD),24h Low (USD)
BTC,2018-04-23,8868.16124,8830.05875,9009.82,8761.88375
BTC,2018-04-24,9191.82,8868.16124,9220.9675,8818.75875
BTC,2018-04-25,9373.3025,9191.82,9746.81749,9191.82
BTC,2018-04-26,8807.515,9373.3025,9514.41375,8662.285
BTC,2018-04-27,9153.64125,8807.515,9303.01874,8660.8675
BTC,2018-04-28,9144.38375,9153.64125,9372.38375,8873.65166
BTC,2018-04-29,9444.1425,9144.38375,9536.64,9085.22374
BTC,2018-04-30,9268.7175,9444.1425,9472.4975,9182.6775
BTC,2018-05-01,8949.87624,9268.7175,9344.89125,8883.5875
BTC,2018-05-02,9029.47875,8949.87624,9134.9525,8842.03249
BTC,2018-05-03,9228.8525,9029.47875,9262.32625,9025.18625
BTC,2018-05-04,9572.69875,9228.8525,9790.94249,9162.18625
BTC,2018-05-05,9817.5975,9572.69875,9855.62875,9572.69875
BTC,2018-05-06,9845.54375,9817.5975,9954.95375,9700.90625
BTC,2018-05-07,9326.76125,9845.54375,9869.65,9229.74875
BTC,2018-05-08,9424.99124,9326.76125,9454.91875,9188.65875
BTC,2018-05-09,9039.02875,9424.99124,9426.52,9003.135
BTC,2018-05-10,9327.04999,9039.02875,9360.41,8975.97374
BTC,2018-05-11,8920.25625,9327.04999,9383.295,8874.54
BTC,2018-05-12,8408.35875,8920.25625,9002.49,8350.12875
BTC,2018-05-13,8442.23875,8408.35875,8642.8025,8220.5175
BTC,2018-05-14,8398.86249,8442.23875,8758.58124,8343.305
BTC,2018-05-15,8711.38875,8398.86249,8878.945,8296.14125
BTC,2018-05-16,8159.25625,8711.38875,8835.5125,8110.32625
BTC,2018-05-17,8360.22875,8159.25625,8458.52625,8146.6825
BTC,2018-05-18,7996.82125,8360.22875,8373.22374,7931.42875
BTC,2018-05-19,8237.3425,7996.82125,8273.5375,7972.5875
BTC,2018-05-20,8250.395,8237.3425,8392.77125,8154.14625
BTC,2018-05-21,8493.13125,8250.395,8582.8025,8230.20999
BTC,2018-05-22,8324.025,8493.13125,8566.1375,8260.78125
BTC,2018-05-23,7951.51375,8324.025,8344.72374,7866.72875
BTC,2018-05-24,7614.96375,7951.51375,7951.8025,7442.241484
BTC,2018-05-25,7599.9525,7614.96375,7721.83125,7272.645
BTC,2018-05-26,7436.835,7599.9525,7651.105547,7335.300817
BTC,2018-05-27,7296.79625,7436.835,7617.84528,7226.65
BTC,2018-05-28,7383.2175,7296.79625,7431.44,7251.02
BTC,2018-05-29,7118.42375,7383.2175,7386.68,7043.282359
BTC,2018-05-30,7491.61125,7118.42375,7562.366729,7051.957839
BTC,2018-05-31,7363.27625,7491.61125,7541.095759,7282.183728
BTC,2018-06-01,7490.62125,7540.810522,7614.063908,7361.565
BTC,2018-06-02,7518.333329,7494.065482,7599.180474,7393.287588
BTC,2018-06-03,7630.403388,7516.612569,7696.542926,7450.698017
BTC,2018-06-04,7505.589277,7638.232021,7774.829285,7451.523947
BTC,2018-06-05,7624.187971,7505.589281,7671.307622,7361.002623
BTC,2018-06-12,6780.340803,6680.21686,6798.662936,6673.12368
BTC,2018-06-13,6321.655965,6870.410349,6907.50249,6154.350129
BTC,2018-06-15,6601.324158,6296.326859,6671.788652,6270.445304
BTC,2018-06-16,6397.44117,6632.446195,6642.518193,6396.940015
BTC,2018-06-17,6529.544015,6397.44117,6544.614891,6329.190046
BTC,2018-06-18,6482.868697,6491.968323,6555.9438,6431.089233
BTC,2018-06-19,6711.64967,6442.528523,6772.249183,6382.442661
BTC,2018-06-20,6731.710147,6706.626795,6808.166271,6669.843567
BTC,2018-06-21,6729.925937,6735.936984,6806.363426,6569.906701
BTC,2018-06-23,6099.445277,6729.498689,6729.900593,5987.768386
BTC,2018-06-24,6198.700824,6041.926012,6313.565038,6019.834015
BTC,2018-06-25,6142.39257,6198.040366,6257.116743,5796.492519
BTC,2018-06-26,6244.328455,6146.279887,6321.135782,6090.149999
BTC,2018-06-27,6148.422705,6237.509614,6267.872,6101.731205
BTC,2018-06-28,6140.1915,6153.025474,6160.893065,6004.181118
BTC,2018-06-29,5954.526582,6143.851708,6185.04441,5913.012632
BTC,2018-06-30,6189.309252,5952.988658,6226.676707,5809.869959
BTC,2018-07-01,6373.277854,6185.103664,6449.892081,6137.955883
BTC,2018-07-03,6629.749595,6373.184975,6682.757452,6269.923682
BTC,2018-07-04,6589.632793,6614.419253,6788.307492,6415.496256
BTC,2018-07-06,6538.682432,6590.003356,6699.790032,6460.276241
BTC,2018-07-07,6570.427592,6580.314622,6621.102558,6501.459277
BTC,2018-07-08,6744.988679,6570.427115,6800.015281,6570.405832
BTC,2018-07-09,6694.530851,6744.988679,6798.959786,6667.489981
BTC,2018-07-11,6360.446668,6694.530851,6701.549171,6271.592929
BTC,2018-07-13,6144.810118,6374.974582,6375.068356,6126.029743
BTC,2018-07-14,6254.678129,6254.799008,6323.038256,6182.083723
BTC,2018-07-16,6671.625919,6254.678129,6709.159824,6230.848947
BTC,2018-07-18,7315.55104,6727.456337,7379.234744,6658.408659
BTC,2018-07-19,7484.63967,7316.147712,7581.570739,7245.303111
BTC,2018-07-21,7357.445677,7484.639663,7697.005345,7281.406498
BTC,2018-07-22,7424.734238,7337.282091,7456.464384,7215.327022
BTC,2018-07-23,7411.200525,7424.503503,7571.740451,7341.523165
BTC,2018-07-24,7730.24748,7400.464661,7805.491249,7374.251359
BTC,2018-07-25,8325.801534,7730.248177,8359.319474,7695.982837
BTC,2018-07-26,8271.59792,8320.159947,8486.01168,8056.018565
BTC,2018-07-27,7925.247396,8269.532335,8313.126681,7914.600936
BTC,2018-07-28,8184.695535,7933.125251,8277.703662,7801.009443
BTC,2018-07-30,8166.38836,8184.696086,8292.515658,7862.074283
BTC,2018-08-01,7700.834129,8166.688399,8198.484617,7666.290884
BTC,2018-08-02,7588.58618,7732.347291,7751.87765,7440.241506
BTC,2018-08-03,7423.074378,7589.374917,7698.487139,7271.202487
BTC,2018-08-05,7396.041122,7423.075093,7501.316029,7359.236813
BTC,2018-08-06,7402.336634,7395.622456,7417.408688,7386.062077
BTC,2018-08-08,6748.441484,7402.336631,7412.287461,6678.28556
BTC,2018-08-09,6460.153155,6721.43509,6750.408312,6396.088336
BTC,2018-08-10,6482.973449,6460.153697,6483.498065,6455.990701
BTC,2018-08-11,6092.533104,6482.968724,6494.016385,6008.854855
BTC,2018-08-12,6338.738957,6101.856478,6473.271658,5982.215632
BTC,2018-08-13,6260.192995,6338.738903,6532.599017,6150.224816
BTC,2018-08-14,6123.447601,6256.844082,6285.55769,5884.779259
BTC,2018-08-15,6332.6069,6186.971207,6587.317958,6180.25542
BTC,2018-08-17,6273.88807,6332.6069,6467.86245,6210.161423
BTC,2018-08-18,6396.946369,6277.041776,6616.676752,6259.389957
BTC,2018-08-19,6516.668382,6391.086269,6539.964724,6302.207382
BTC,2018-08-20,6299.395333,6516.772572,6523.486097,6280.326328
BTC,2018-08-22,6355.881809,6252.328859,6882.835906,6240.901886
BTC,2018-08-23,6503.832362,6360.216985,6559.279489,6347.079538
BTC,2018-08-24,6675.360683,6525.526663,6711.493665,6456.798837
BTC,2018-08-25,6725.032327,6683.354502,6781.075889,6657.387532
BTC,2018-08-26,6689.822683,6725.032327,6776.896406,6570.729822
BTC,2018-08-28,7084.293617,6702.39195,7126.730535,6646.168014
BTC,2018-08-29,7059.231235,7079.540613,7133.646631,6923.645531
BTC,2018-08-31,7028.447312,7040.075012,7089.1748,6805.198514
BTC,2018-09-01,7198.058436,7028.447311,7273.526925,7002.341106
BTC,2018-09-02,7282.858514,7198.057948,7339.812044,7130.172251
BTC,2018-09-03,7260.251593,7282.231751,7335.455082,7198.264981
BTC,2018-09-04,7361.271864,7263.067297,7417.667037,7240.376738
BTC,2018-09-05,6913.115013,7359.974361,7399.538604,6860.772764
BTC,2018-09-07,6400.268706,6913.115013,6927.094091,6301.93633
BTC,2018-09-08,6181.744207,6400.3353,6479.20264,6120.293704
BTC,2018-09-09,6253.937201,6183.97778,6447.313782,6144.924046
BTC,2018-09-11,6275.083132,6253.935863,6379.81011,6226.244827
BTC,2018-09-12,6275.669588,6275.086286,6278.477001,6270.784163
BTC,2018-09-13,6283.1842,6275.667962,6284.247704,6270.935037
BTC,2018-09-15,6285.982466,6283.1845,6287.36465,6279.938808
BTC,2018-09-16,6281.409356,6284.486393,6286.252578,6277.600747
BTC,2018-09-18,6273.220083,6281.409355,6282.800877,6271.079572
BTC,2018-09-19,6282.610727,6273.220083,6291.6152,6265.094017
BTC,2018-09-21,6288.07017,6283.119124,6288.68645,6276.09445
BTC,2018-09-22,6317.699685,6288.070074,6327.366866,6286.82408
BTC,2018-09-23,6293.836421,6317.699923,6319.325727,6292.470693
BTC,2018-09-24,6289.621327,6293.836421,6294.346274,6287.252102
BTC,2018-09-25,6466.994564,6289.620676,6662.423134,6286.529049
BTC,2018-09-26,6391.385981,6466.994518,6480.688089,6331.802231
BTC,2018-09-27,6509.776621,6391.385985,6559.484428,6389.429599
BTC,2018-09-28,6698.416047,6509.777014,6737.943844,6435.757875
BTC,2018-09-29,6502.688151,6698.416756,6799.930721,6487.953569
BTC,2018-09-30,6576.61432,6502.686952,6633.760949,6468.403572
BTC,2018-10-01,6647.387947,6576.616083,6664.394229,6537.792079
BTC,2018-10-02,6603.754342,6647.387803,6659.79686,6510.647196
BTC,2018-10-03,6481.24577,6539.322738,6585.475311,6433.655985
BTC,2018-10-04,6594.935786,6506.454452,6642.005362,6501.934563
BTC,2018-10-06,6595.260326,6594.935786,6680.775154,6554.811033
BTC,2018-10-08,6662.8685,6595.260368,6696.495814,6547.187842
BTC,2018-10-09,6663.021071,6662.868499,6676.230859,6601.479356
BTC,2018-10-11,6619.495845,6663.020979,6663.020979,6546.963287
BTC,2018-10-12,6285.859203,6628.470053,6628.582997,6221.48545
BTC,2018-10-13,6309.198921,6285.506332,6350.784169,6207.718289
BTC,2018-10-14,6361.417016,6309.19844,6408.601641,6271.48444
BTC,2018-10-15,6721.587503,6341.380722,7586.524634,6306.184686
BTC,2018-10-17,6724.833078,6723.097511,6897.033441,6679.922098
BTC,2018-10-18,6374.648863,6724.833124,6802.158612,6335.173505
BTC,2018-10-20,6407.479085,6374.648863,6438.790347,6339.265011
BTC,2018-10-22,6412.530491,6406.390391,6472.834459,6398.003393
BTC,2018-10-23,6396.880154,6412.204305,6437.074557,6362.332866
BTC,2018-10-24,6407.667175,6405.565596,6460.249804,6352.138046
BTC,2018-10-25,6405.500726,6412.566041,6421.783207,6358.259247
BTC,2018-10-27,6392.179337,6405.336552,6448.028506,6370.195735
BTC,2018-10-28,6429.687141,6392.845687,6442.889414,6389.344445
BTC,2018-10-29,6266.189683,6430.150405,6439.457696,6211.560523
BTC,2018-10-30,6276.4645,6265.91015,6313.272457,6247.517585
BTC,2018-10-31,6321.713671,6276.734671,6394.783431,6207.057336
BTC,2018-11-01,6341.094813,6322.093628,6376.656227,6296.589337
BTC,2018-11-02,6360.141272,6340.400656,6409.156466,6336.649751
BTC,2018-11-03,6344.738943,6360.719812,6371.23797,6292.151812
BTC,2018-11-04,6405.139755,6344.738943,6473.778438,6318.627622
BTC,2018-11-05,6396.352124,6405.140331,6440.957228,6374.69889
BTC,2018-11-06,6425.917802,6404.377175,6449.998745,6377.542775
BTC,2018-11-07,6514.489453,6426.655222,6553.951932,6424.658626
BTC,2018-11-08,6412.524289,6518.336088,6530.733661,6400.936546
BTC,2018-11-09,6343.632504,6412.524,6433.253185,6309.652653
BTC,2018-11-10,6365.655232,6338.781895,6396.877364,6335.218051
BTC,2018-11-11,6327.480646,6360.005434,6380.813434,6292.721847
BTC,2018-11-12,6327.154696,6370.273273,6391.766568,6305.010271
BTC,2018-11-13,6282.438677,6327.154697,6331.487634,6245.238174
BTC,2018-11-14,5524.801093,6281.604411,6295.953866,5390.11663
BTC,2018-11-15,5511.152834,5524.764809,5692.068952,5244.694267
BTC,2018-11-16,5448.600634,5573.017153,5608.722588,5423.050404
BTC,2018-11-17,5497.411279,5513.42386,5564.028968,5466.50059
BTC,2018-11-18,5553.014895,5497.367784,5638.976973,5495.677822
BTC,2018-11-19,4800.342897,5553.014747,5610.149551,4708.864255
BTC,2018-11-20,4246.312774,4744.619841,4888.622712,4076.594717
BTC,2018-11-21,4478.299558,4364.741549,4631.902485,4250.165063
BTC,2018-11-22,4405.744031,4476.227244,4591.879115,4354.568649
BTC,2018-11-23,4329.91722,4405.744487,4405.744585,4119.999691
BTC,2018-11-24,3728.872648,4329.925425,4378.509892,3668.61397
BTC,2018-11-25,3951.205029,3788.289089,4101.999387,3447.576041
BTC,2018-11-26,3640.557165,3951.21152,4064.748217,3530.721646
BTC,2018-11-27,3792.192364,3640.937925,3830.820142,3559.324065
BTC,2018-11-28,4174.319972,3792.195994,4341.439922,3752.446179
BTC,2018-11-29,4218.608363,4220.323335,4400.462583,4082.319821
BTC,2018-11-30,3952.447895,4241.7447,4299.976374,3878.658101
BTC,2018-12-01,4178.603828,3953.521462,4251.369948,3904.394191
BTC,2018-12-02,4118.518242,4138.47706,4255.954021,4038.098584
BTC,2018-12-03,3847.032737,4092.851115,4104.858957,3755.326092
BTC,2018-12-04,3889.29212,3847.02046,4034.531558,3724.003343
BTC,2018-12-05,3713.573383,3889.292261,3913.531776,3675.541484
BTC,2018-12-06,3578.206624,3696.351467,3838.120977,3547.013939
BTC,2018-12-07,3391.874146,3578.207206,3621.501257,3201.762797
BTC,2018-12-08,3452.616185,3391.878176,3475.930178,3251.835797
BTC,2018-12-09,3507.306367,3452.588499,3642.41485,3374.366987
BTC,2018-12-10,3419.733768,3528.120201,3591.236734,3355.642553
BTC,2018-12-11,3360.946628,3409.162882,3428.100418,3294.037452
BTC,2018-12-12,3414.833749,3360.956191,3474.391356,3324.92518
BTC,2018-12-13,3263.547913,3427.049729,3435.142473,3233.263656
BTC,2018-12-14,3212.207081,3262.271683,3300.651394,3138.099494
BTC,2018-12-15,3194.962272,3212.207159,3227.86742,3122.342716
BTC,2018-12-16,3200.642468,3178.299355,3256.600326,3176.353015
BTC,2018-12-17,3478.461203,3199.176265,3579.814884,3181.701395
BTC,2018-12-18,3562.894946,3478.46099,3573.240335,3429.858731
BTC,2018-12-19,3709.316759,3664.658829,3929.098491,3642.828665
BTC,2018-12-20,4065.799953,3709.323532,4160.296726,3662.743439
BTC,2018-12-21,3824.739794,4065.773617,4164.550651,3774.323684
BTC,2018-12-22,3862.726329,3838.230387,3929.859591,3791.905375
BTC,2018-12-23,3949.794342,3862.726329,4052.230547,3862.722999
BTC,2018-12-24,4054.29626,3942.737776,4241.436134,3942.669448
BTC,2018-12-25,3767.350024,4030.003413,4045.572084,3677.043649
BTC,2018-12-26,3807.153022,3767.872104,3869.401164,3682.681845
BTC,2018-12-27,3587.198223,3809.295204,3842.311793,3571.152376
BTC,2018-12-28,3865.5293,3587.235351,3945.244649,3558.737717
BTC,2018-12-31,3689.56462,3689.972338,3690.306792,3689.47512
BTC,2019-01-01,3715.564441,3693.330067,3741.881855,3644.876282
BTC,2019-01-02,3882.304754,3715.564384,3900.709127,3711.274108
BTC,2019-01-03,3795.592741,3882.303622,3916.197684,3760.944042
BTC,2019-01-04,3812.381108,3781.020706,3844.986111,3725.739663
BTC,2019-01-05,3809.914343,3812.381119,3866.417432,3775.828878
BTC,2019-01-06,4014.133187,3797.034097,4063.945356,3758.516526
BTC,2019-01-07,3989.631741,4032.459166,4060.8648,3526.139278
BTC,2019-01-08,3992.986144,3989.631753,4096.383035,3947.035924
BTC,2019-01-09,3995.325193,3981.9383,4023.73449,3965.976346
BTC,2019-01-10,3617.346291,3995.325181,4025.528311,3570.07696
BTC,2019-01-11,3606.16489,3617.268962,3676.732346,3572.674979
BTC,2019-01-12,3611.528238,3609.129566,3644.344105,3564.627889
BTC,2019-01-13,3497.669392,3614.420848,3642.047723,3480.83289
BTC,2019-01-14,3654.347067,3497.669615,3696.069001,3488.718715
BTC,2019-01-15,3568.751259,3653.680318,3679.703656,3544.429551
BTC,2019-01-16,3593.72174,3568.682666,3662.918729,3567.148796
BTC,2019-01-17,3623.717337,3603.551637,3644.731298,3546.309687
BTC,2019-01-18,3605.855187,3623.7175,3641.961038,3578.425318
BTC,2019-01-19,3690.908564,3605.855117,3735.35654,3602.420476
BTC,2019-01-20,3544.221724,3680.284747,3701.454802,3490.703684
BTC,2019-01-21,3528.463529,3544.221816,3558.233818,3496.602642
BTC,2019-01-22,3581.551947,3528.463928,3605.741677,3444.686471
BTC,2019-01-23,3549.770799,3572.68895,3608.876902,3521.835474
BTC,2019-01-24,3562.920476,3555.861961,3591.593897,3530.547309
BTC,2019-01-25,3566.666164,3571.808887,3574.12437,3522.424187
BTC,2019-01-26,3563.27801,3566.666225,3648.499903,3541.170987
BTC,2019-01-27,3539.620947,3563.160202,3564.954936,3481.38447
BTC,2019-01-28,3425.262161,3530.20371,3541.417161,3374.463901
BTC,2019-01-29,3395.018645,3429.707749,3438.068371,3346.143188
BTC,2019-01-30,3441.032215,3395.224799,3460.23195,3371.688746
BTC,2019-01-31,3420.633227,3434.521847,3471.247461,3394.284634
BTC,2019-02-01,3439.805699,3412.722219,3454.414301,3375.731683
BTC,2019-02-02,3433.035285,3440.076847,3453.694339,3409.541106
BTC,2019-02-03,3404.499313,3433.044895,3487.571973,3386.579366
BTC,2019-02-04,3412.230431,3417.022943,3442.638096,3393.99421
BTC,2019-02-05,3419.767899,3412.230378,3433.689632,3398.955745
BTC,2019-02-06,3367.519032,3428.981335,3441.92046,3344.124422
BTC,2019-02-07,3360.534076,3365.529473,3380.783837,3349.75599
BTC,2019-02-08,3591.022152,3360.534447,3702.481571,3343.343493
BTC,2019-02-09,3617.46468,3621.627386,3638.49429,3590.289224
BTC,2019-02-10,3621.154003,3617.464502,3631.038219,3577.980093
BTC,2019-02-11,3593.183177,3621.173667,3653.116621,3579.428994
BTC,2019-02-12,3579.341881,3593.183267,3616.423243,3546.249433
BTC,2019-02-13,3569.554833,3589.224148,3625.790495,3556.898552
BTC,2019-02-14,3558.396858,3569.554837,3587.773513,3536.428098
BTC,2019-02-15,3566.247765,3555.19948,3617.520131,3542.412504
BTC,2019-02-16,3596.405191,3566.23715,3607.963504,3564.609675
BTC,2019-02-17,3606.151988,3596.388615,3662.620411,3558.757213
BTC,2019-02-18,3865.318165,3606.132961,3925.121367,3598.924256
BTC,2019-02-19,3904.48292,3869.834104,3975.889598,3842.300685
BTC,2019-02-20,3924.739844,3904.465644,3964.555496,3861.120342
BTC,2019-02-21,3889.758485,3924.739844,3979.057929,3870.950163
BTC,2019-02-22,3933.60759,3898.507867,3953.534813,3889.619696
BTC,2019-02-23,4105.112759,3933.606112,4146.011274,3912.744127
BTC,2019-02-24,3763.620516,4105.095188,4178.658614,3697.82002
BTC,2019-02-25,3819.865341,3763.622167,3852.370301,3729.685214
BTC,2019-02-26,3797.58179,3819.879316,3831.029065,3762.212195
BTC,2019-02-27,3772.936335,3796.637284,3824.165879,3666.524016
BTC,2019-02-28,3799.678543,3773.441461,3879.231185,3753.800022
BTC,2019-03-01,3811.611979,3799.367026,3840.044823,3788.918498
BTC,2019-03-02,3804.41917,3806.691513,3819.194356,3759.409216
BTC,2019-03-03,3782.664101,3807.845756,3818.695481,3766.242048
BTC,2019-03-04,3689.862893,3783.355063,3804.353616,3663.477743
BTC,2019-03-05,3832.080885,3701.049871,3866.718704,3688.697154
BTC,2019-03-06,3848.95637,3832.592429,3881.96577,3802.516054
BTC,2019-03-07,3859.839983,3848.956367,3890.745492,3827.670303
BTC,2019-03-08,3828.371904,3859.800616,3917.997566,3778.516481
BTC,2019-03-09,3898.86846,3841.887138,3948.88414,3832.144912
BTC,2019-03-10,3899.655869,3916.756192,3921.934211,3865.915781
BTC,2019-03-11,3851.24919,3899.459274,3913.45552,3819.928943
BTC,2019-03-12,3866.295946,3851.623882,3879.971604,3795.675857
BTC,2019-03-13,3846.274442,3866.295957,3873.719094,3823.808796
BTC,2019-03-14,3855.744363,3846.27445,3897.72571,3792.391914
BTC,2019-03-15,3892.052301,3855.744324,3908.278294,3843.448963
BTC,2019-03-16,3985.851236,3892.052229,4033.682777,3891.818369
BTC,2019-03-17,3970.389045,3989.536665,3992.605506,3931.58218
BTC,2019-03-18,3974.415764,3970.383597,4020.892414,3931.674029
BTC,2019-03-19,3996.037131,3970.281987,4020.007072,3949.892921
BTC,2019-03-20,4027.787395,3996.037055,4034.526497,3964.793637
BTC,2019-03-21,3974.811429,4026.588651,4053.538056,3904.836084
BTC,2019-03-22,3987.305225,3974.811248,4002.532316,3957.944316
BTC,2019-03-23,3977.707443,3977.276039,4006.984568,3961.802425
BTC,2019-03-24,3968.438701,3977.707443,3990.965292,3940.879744
BTC,2019-03-25,3913.781717,3972.696582,3982.232764,3903.29393
BTC,2019-03-26,3915.37532,3913.781742,3928.979427,3876.720858
BTC,2019-03-27,4018.59051,3925.865359,4030.357641,3914.577708
BTC,2019-03-28,4008.370872,4018.59051,4033.386524,3990.008616
BTC,2019-03-29,4080.260114,4008.37107,4100.149119,4006.619169
BTC,2019-03-30,4081.221605,4090.750409,4128.415102,4030.061257
BTC,2019-04-01,4094.704791,4081.221605,4104.536254,4073.245456
BTC,2019-04-02,4135.18494,4094.704791,4148.6618,4052.601676
BTC,2019-04-03,4818.770635,4135.182905,4961.780306,4132.55666
BTC,2019-04-04,5102.150753,4818.773504,5325.233877,4810.244974
BTC,2019-04-05,4875.599431,4966.90163,5071.589614,4787.707994
BTC,2019-04-06,5030.933271,4875.596147,5060.703203,4875.596147
BTC,2019-04-07,5028.321082,5032.791239,5229.957551,4934.263044
BTC,2019-04-08,5198.17317,5028.320269,5247.464931,5019.333332
BTC,2019-04-09,5260.205043,5192.929096,5343.247093,5088.678145
BTC,2019-04-10,5179.997649,5260.200329,5285.86342,5117.006185
BTC,2019-04-11,5283.543758,5179.996674,5450.989154,5170.615377
BTC,2019-04-12,5049.605824,5320.613514,5342.523902,4954.160915
BTC,2019-04-13,5077.515864,5042.402341,5098.606039,4894.73318
BTC,2019-04-14,5066.86704,5077.521133,5117.621045,5021.765035
BTC,2019-04-15,5158.387401,5066.87746,5167.43134,5014.165373
BTC,2019-04-16,5045.675166,5145.870366,5181.927,4957.68689
BTC,2019-04-17,5184.204468,5035.460733,5218.96154,5019.952949
BTC,2019-04-18,5220.959934,5184.20448,5253.861961,5167.683374
BTC,2019-04-19,5276.558982,5218.079843,5310.487045,5214.802942
BTC,2019-04-20,5266.661246,5279.181428,5345.759303,5212.188471
BTC,2019-04-21,5292.14833,5266.661261,5353.28683,5259.426827
BTC,2019-04-22,5276.558318,5292.148328,5330.917314,5195.633537
BTC,2019-04-23,5398.433417,5282.088267,5408.841963,5239.165296
BTC,2019-04-24,5552.521911,5398.433417,5622.481868,5359.25192
BTC,2019-04-25,5432.991017,5552.519471,5614.992209,5373.864707
BTC,2019-04-26,5132.227526,5432.991017,5505.131953,5055.192579
BTC,2019-04-27,5151.574528,5131.061691,5274.695485,5053.946309
BTC,2019-04-28,5200.193239,5151.574408,5218.815183,5088.298122
BTC,2019-04-29,5152.54574,5200.19306,5208.347656,5118.909133
BTC,2019-04-30,5151.4335,5156.543028,5192.025339,5083.842704
BTC,2019-05-01,5277.444469,5155.617283,5292.605385,5130.260198
BTC,2019-05-02,5297.942492,5277.44445,5351.359143,5259.844026
BTC,2019-05-03,5405.878067,5323.63927,5427.488394,5310.6701
BTC,2019-05-04,5697.679054,5405.878111,5791.211463,5378.208048
BTC,2019-05-05,5812.331779,5690.147527,5829.948913,5529.74824
BTC,2019-05-06,5713.035052,5787.598598,5787.645478,5634.72385
BTC,2019-05-07,5706.008421,5713.034966,5750.565609,5562.314727
BTC,2019-05-08,5899.529693,5687.259841,5956.150104,5687.253246
BTC,2019-05-09,5932.441391,5759.375057,5942.410892,5708.476326
BTC,2019-05-10,6159.685902,5932.446285,6159.685902,5845.650918
BTC,2019-05-11,6387.82945,6159.689544,6426.831207,6098.157976
BTC,2019-05-12,7254.805536,6347.706737,7337.322181,6346.331889
